user_id,rscs_1,rscs_2,rscs_3,rscs_4,rscs_5,rscs_6,rscs_7,rscs_8,rscs_9,rscs_10,rscs_11,rscs_12,rscs_13,rscs_14,rscs_15,rscs_16
sa_vi_1998_12_29_896_f,4,2,3,3,3,2,2,2,4,4,2,3,3,3,4,4
re_me_1979_05_23_669_f,3,2,4,2,3,2,2,1,3,3,1,3,3,1,3,4
ba_mo_1996_05_28_736_f,2,2,4,3,4,2,2,1,4,4,1,3,3,3,4,4
ag_pe_2002_04_26_855_f,1,3,4,2,4,2,2,1,3,3,1,2,2,4,3,4
ca_pe_2001_03_05_435_f,2,4,4,2,4,4,4,2,4,3,2,2,2,4,4,4
ma_ma_2002_04_01_487_f,2,2,4,2,4,3,3,1,4,3,1,3,3,4,3,4
ma_ma_2002_03_03_029_f,2,3,4,2,4,3,3,2,2,4,2,3,3,4,2,3
sa_ro_2002_05_30_032_f,3,2,4,3,3,2,2,1,3,3,2,3,3,4,4,4
ga_si_2001_12_24_039_f,4,2,4,4,4,3,2,1,3,4,2,4,4,4,2,4
ga_la_2001_11_01_819_f,2,2,4,2,4,2,4,1,4,3,1,4,2,4,4,3
il_ma_2003_01_03_168_f,3,3,4,4,4,2,3,1,3,3,1,3,4,4,3,4
la_ro_1962_11_28_490_f,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
el_ch_1996_06_15_137_f,1,3,4,2,4,3,2,1,3,1,1,3,1,4,4,4
cl_pa_2002_08_18_019_f,4,2,4,2,2,2,3,2,3,4,2,2,1,3,4,4
au_na_2001_11_12_839_f,3,2,4,2,4,1,2,1,4,3,3,2,2,4,3,3
ma_ma_2002_10_19_612_f,1,2,1,1,1,2,3,4,1,3,4,2,1,1,2,2
da_pa_1998_07_27_957_f,1,4,4,4,4,4,4,1,2,2,1,4,4,4,2,2
gr_ma_2003_01_10_460_f,2,2,4,4,4,2,2,1,4,4,1,4,4,4,4,4
ma_po_2000_06_18_024_m,2,2,4,2,3,3,2,2,3,3,1,4,2,4,3,4
sa_pa_2002_04_12_649_f,1,3,4,1,4,4,2,1,3,3,2,2,1,4,2,2
al_be_1995_11_05_575_f,2,4,4,2,3,4,4,1,2,3,1,3,3,4,2,2
fe_me_2002_06_04_722_f,2,2,3,2,4,2,3,1,3,3,1,2,2,3,3,3
re_la_2002_11_09_396_f,4,2,4,3,3,2,2,2,4,3,2,3,3,3,4,4
gi_bo_1998_07_08_603_f,4,2,3,3,3,2,1,1,4,4,1,3,4,4,4,4
ma_sc_2001_07_11_916_f,2,2,3,2,4,2,3,2,2,3,2,3,3,4,3,2
ch_sp_1999_07_28_920_f,3,2,4,2,4,2,2,1,3,3,1,2,2,4,3,4
ni_me_2002_08_15_786_f,2,2,4,2,3,2,2,1,3,2,1,2,2,4,3,3
al_sp_1996_06_19_728_f,3,2,4,3,4,2,2,1,3,3,1,3,3,4,3,3
ga_le_2002_07_10_059_f,2,2,4,4,4,2,3,1,2,3,1,4,4,4,3,3
gr_ma_2002_05_07_205_f,3,2,4,1,3,2,2,2,3,3,3,2,1,4,3,3
mi_ti_2002_06_02_645_m,2,3,3,2,2,3,3,2,3,2,3,4,2,4,2,3
gi_ze_2002_06_17_601_f,4,1,4,1,4,1,1,1,4,4,1,3,2,4,4,4
vi_vi_2002_03_24_350_f,3,2,4,3,4,2,2,1,4,3,1,4,2,4,4,4
gi_ca_1998_02_23_938_f,3,2,4,4,4,1,2,1,4,4,1,4,4,4,4,4
ag_sa_2002_08_20_397_f,3,2,4,2,3,1,3,2,4,4,1,3,2,4,3,4
bi_de_1997_06_16_173_f,3,2,4,4,3,2,2,1,4,4,2,4,3,4,3,4
ma_co_1960_01_16_386_f,2,2,4,2,2,4,2,3,3,2,2,3,2,4,2,3
ma_gu_1997_01_03_207_f,3,1,4,3,3,1,1,1,3,3,1,4,3,4,3,3
gi_co_1998_07_08_738_f,4,1,4,2,4,2,2,1,3,4,1,2,2,4,4,4
ma_tu_1998_11_05_966_f,2,3,4,3,4,3,3,1,3,2,1,3,3,4,3,4
gi_pe_2001_09_20_004_m,2,3,4,2,4,3,3,1,2,3,2,2,2,4,2,2
ma_sc_1998_08_02_990_f,3,2,4,3,4,3,3,1,3,3,1,3,2,4,3,3
ca_pa_2002_07_17_286_f,2,4,4,2,4,3,3,2,2,2,1,3,2,4,3,3
ta_ma_2002_06_22_226_f,2,4,4,2,4,3,4,1,2,3,1,3,2,4,2,4
ni_pe_1978_01_21_466_m,2,3,3,2,2,3,3,1,3,3,1,2,2,3,3,4
ch_ma_2001_02_26_711_f,2,3,3,1,3,3,4,1,2,1,1,2,2,3,3,3
lu_li_2001_11_15_130_f,2,2,4,2,1,2,3,1,3,2,1,2,2,3,3,3
bl_gr_1997_12_22_170_f,2,2,4,2,3,2,2,1,3,3,1,3,2,4,3,3
al_te_2000_10_05_491_f,2,3,1,4,1,2,1,2,3,3,1,3,4,1,2,2
ma_st_2002_10_22_911_f,4,1,4,2,4,1,1,1,4,4,1,3,2,4,4,4
gi_pa_1996_01_02_251_f,3,2,4,1,3,1,1,1,3,3,1,3,1,4,3,4
cl_ba_1998_03_06_138_f,3,3,2,2,2,3,3,4,4,3,4,3,2,4,4,3
va_ro_1998_10_07_040_f,2,3,3,2,4,3,2,1,2,2,2,2,2,3,3,2
al_pa_2002_08_26_360_f,3,3,4,2,4,3,3,1,4,3,2,3,2,4,3,4
ma_ro_1998_05_12_260_f,2,3,4,1,3,4,1,2,3,2,2,2,1,4,3,3
si_fo_1991_06_07_244_f,3,3,3,2,3,2,3,2,2,3,2,3,2,3,2,3
le_ne_1998_06_24_630_m,2,3,4,3,4,3,2,1,4,3,2,4,3,4,4,4
al_vi_2002_05_22_829_m,3,3,4,2,4,3,3,1,3,4,1,3,2,4,4,4
se_st_2002_09_02_204_f,2,2,3,2,3,2,2,2,3,3,2,2,2,4,3,3
em_si_2002_11_08_007_f,2,3,3,2,4,3,3,1,2,2,2,3,2,4,3,3
so_ma_2002_05_04_823_f,2,4,4,2,4,3,3,1,3,3,2,2,2,4,3,3
ma_pa_1999_12_01_514_f,2,2,4,2,3,2,1,1,3,2,2,3,3,4,2,3
fr_co_1998_07_15_055_f,2,4,4,1,4,4,4,1,2,2,2,1,1,4,2,2
al_ro_2001_10_28_111_f,3,2,3,3,3,2,3,1,4,3,1,3,2,4,3,4
ch_ru_1997_09_06_566_f,3,1,4,2,4,2,2,2,2,3,2,1,1,4,2,2
vi_re_1997_08_07_899_f,3,2,4,3,4,2,2,3,3,4,2,3,3,4,3,4
mo_ma_1999_02_24_161_f,3,2,4,3,4,3,2,1,4,4,2,4,4,4,4,3
kr_al_1994_04_06_276-f,3,4,3,4,3,3,3,3,2,3,4,4,4,2,3,3
da_bo_1972_02_17_476_m,2,3,4,1,3,3,2,1,3,3,1,3,2,4,1,3
re_la_1997_08_07_327_f,2,3,4,2,3,4,2,1,4,4,2,2,2,4,4,4
ma_fr_1997_11_01_250_f,2,3,4,2,3,3,3,1,3,3,1,2,2,4,3,3
gi_se_1994_11_23_521_f,3,3,4,3,3,2,2,2,3,3,2,2,3,3,3,3
ma_fa_1995_03_05_009_f,3,2,3,4,4,2,2,1,3,3,1,3,4,3,3,3
ma_pa_2002_03_03_391_f,1,2,4,1,4,3,3,1,3,3,2,1,1,4,3,3
el_lu_2002_04_30_278_f,3,2,4,2,4,2,3,1,4,4,3,3,2,4,4,4
ce_bu_1995_08_06_326_f,1,4,4,2,3,4,3,3,2,2,3,3,2,4,2,2
si_av_1994_11_01_217_f,3,2,4,1,4,2,2,1,3,2,1,3,1,4,3,4
an_pa_2002_05_21_686_f,3,2,3,1,3,2,2,2,3,3,3,1,1,4,3,4
ni_so_2002_01_06_139_f,1,3,4,1,2,3,3,1,3,3,1,3,2,4,3,3
el_pi_2001_09_08_696_f,2,3,4,3,4,3,3,2,2,2,3,2,3,4,2,2
cl_ca_1998_11_16_863_f,2,3,3,2,3,3,3,2,3,3,2,2,2,4,3,2
em_mi_2002_06_08_256_m,2,2,3,3,3,3,2,1,3,3,1,3,3,3,2,3
ch_de_1997_06_17_639_f,3,2,4,2,4,3,2,1,3,3,1,3,2,4,3,4
no_na_1997_14_97_364_f,4,1,4,4,4,2,1,1,4,4,1,4,4,4,4,4
de_da_1992_10_13_742_f,3,2,3,1,4,1,2,1,4,3,1,4,2,3,3,3
